ARTNUMMER;ARTFAK_OM;ART_PRI_V 
01-001Z-1/4";EE bocht bi/bu (Z=zwart);2,25 
01-001Z-3/8";EE bocht bi/bu;2,70 
01-001Z-1/2";EE bocht bi/bu;2,40 
01-001Z-3/4";EE bocht bi/bu;4,20 
01-001Z-1";EE bocht bi/bu;5,65 
01-001Z-1.1/4";EE bocht bi/bu;10,05 
01-001Z-1.1/2";EE bocht bi/bu;12,95 
01-001Z-2";EE bocht bi/bu;21,45 
01-001Z-2.1/2";EE bocht bi/bu;46,75 
01-001Z-3";EE bocht bi/bu;60,55 
01-001Z-4";EE bocht bi/bu;109,85 
01-002Z-1/4";EE bocht bi/bi;2,45 
01-002Z-3/8";EE bocht bi/bi;2,60 
01-002Z-1/2";EE bocht bi/bi;2,80 
01-002Z-3/4";EE bocht bi/bi;4,30 
01-002Z-1";EE bocht bi/bi;5,65 
01-002Z-1.1/4";EE bocht bi/bi;10,05 
01-002Z-1.1/2";EE bocht bi/bi;12,45 
01-002Z-2";EE bocht bi/bi;17,15 
01-002Z-2.1/2";EE bocht bi/bi;47,50 
01-002Z-3";EE bocht bi/bi;59,70 
01-002Z-4";EE bocht bi/bi;113,10 
01-003Z-1/2";EE bocht bu/bu;4,20 
01-003Z-3/4";EE bocht bu/bu;4,70 
01-003Z-1";EE bocht bu/bu;6,80 
01-040Z-1/4";EE bocht 45gr. bi/bu;3,40 
01-040Z-3/8";EE bocht 45gr. bi/bu;3,00 
01-040Z-1/2";EE bocht 45gr. bi/bu;2,80 
01-040Z-3/4";EE bocht 45gr. bi/bu;3,70 
01-040Z-1";EE bocht 45gr. bi/bu;5,30 
01-040Z-1.1/4";EE bocht 45gr. bi/bu;9,15 
01-040Z-1.1/2";EE bocht 45gr. bi/bu;11,00 
01-040Z-2";EE bocht 45gr. bi/bu;17,25 
01-040Z-2.1/2";EE bocht 45gr. bi/bu;37,70 
01-040Z-3";EE bocht 45gr. bi/bu;41,10 
01-040Z-4";EE bocht 45gr. bi/bu;92,81 
01-041Z-3/8";EE bocht 45gr. bi/bi;3,50 
01-041Z-1/2";EE bocht 45gr. bi/bi;3,40 
01-041Z-3/4";EE bocht 45gr. bi/bi;4,15 
01-041Z-1";EE bocht 45gr. bi/bi;5,35 
01-041Z-1.1/4";EE bocht 45gr. bi/bi;9,50 
